Rating(/10),Review Title ,Review ,Helpful Upvotes,Helpful Downvotes,Username,Date,Contains Spoiler
5,"Very disappointing, a soap opera with a bit of action thrown in.","I just saw Superman Returns at the world premiere in Westwood. I have been a Superman comic fan since I was a kid (I'm 49 now) and I still watch Smallville. Superman – the character – is the greatest, but this movie was…extremely disappointing. Knowing the director was Bryan Singer, who just did X-Men, I was expecting an action-packed thriller. This movie was more a soap opera with special effects and some action thrown in out of obligation.One of the best parts of a hero-bad guy movie is when the two adversaries meet to duke it out. About 80% into the movie they finally met, and the scene was pitiful. Lex Luthor is famous for being an evil genius. In this movie, he was just evil, but he was very well played by Kevin Spacey. Lex is supposed to use his genius to do battle with Superman. Design a super strong robot armor suit, or some other clever tactic. You can guess how Lex dealt with Superman, the most predictable way possible. Superman is back after being gone for 5 years. He went to find Krypton, which maybe wasn't completely destroyed. (This is not a spoiler). But FYI, Krypton was bathed by the radiation from a red sun. People living there were normal, like us. They only develop super powers here on Earth due to our yellow sun. So, even if Superman tried to fly to Krypton, he would lose all of his powers and die in space when he got close to the red sun. Other gripes: Superman had so much make-up on, at times he looked computer-generated. 'Clark' looked way too much like Superman. Christopher Reeve did a much better job as a slouchy, meek Clark. Brandon Routh might be handsome, but he just looked sooooooo... darn young. How could such a baby-face be a ""Super Man?""What I liked: James Marsden playing Perry White's nephew, he was awesome. Great guy, great character, great role. It was cool seeing X-Man Scott Summers without his glasses. Frank Langella...very small role, but great job as Perry White. Sam Huntington as Jimmy Olsen...funny, funny guy. Without him, this movie would have been absolutely humorless.Did these guys show this movie to a test audience? I would love to know how they spent so much money to make such a long and mostly boring movie.",10,11,drbryan,"Jun 22, 2006",
8,"Wow, just amazing","I saw an advance screening of this today, and had to write and say that Superman Returns was amazing.Brandon Routh as Superman is awesome, Kevin Spacey as Lex Luthor is amazing and Kate Bosworth, just great as Lois Lane. Even the musical score is really powerful... Bryan Singer should be running all Hero based movies...Great Story, Great Acting, Great effects, probably one of the best movies I've ever seen, I was really overcome with emotion during a couple of scenes...and I was glued to my seat for 2.5 hours... after it was done I wanted to run back in and see it again.Get out of your chair, and go see this movie...now...",31,32,Fingers-4,"Jun 23, 2006",
5,"Pointless to hate, meaningless to love","It's been nearly 20 years since the last SUPERMAN movie, and that one -- SUPERMAN IV: THE QUEST FOR PEACE -- was such a low-tech, silly muddle that it doesn't even seem fair to count it among the first two. (SUPERMAN III was nearly as bad.) Yet somehow, the Man of Steel has kept his place in our hearts. Who does have at least a curiosity about how the new film, SUPERMAN RETURNS, will fare? Certain the special effects have advanced considerably since the 1978's original tagline promised us ""you will believe a man can fly."" And here, you do. The FX are great and convincing. But... what else? Does it deliver? The answer is a mix of ""yes"" and ""no."" SUPERMAN RETURNS, as much as Clark Kent himself, seems to have a split personality. Is it a sequel (as much of its dialogue and title suggest) or a remake (as its style and plot choices indicate)? Well, it's a little of both, and in that conflict lies both its fatal flaw and its salvation. The storyline and tone so closely mirror the original -- especially in the comic flair exhibited by Lex Luthor (Kevin Spacey, predictably delicious) and his relationship with ditzy cohort Kitty (Parker Posey). Superman (Brandon Routh, who often appears to have been extruded from a solid piece of manhunk)has been missing for five years and suddenly returns to earth to continue doing good deeds (why he left and why he returns never really make a lot of sense). Meanwhile, Luthor has a plan for world domination that includes, once again, a giant land-grab (even the 1978 jokes about this are recycled). Back at the Daily Planet, Clark continues to pine for Lois (Kate Bosworth), who still can't spell. Then there's Jimmy Olsen, Perry White, Ma Kent -- all the usual suspects. Lois has a boyfriend and a son, too, which is one of the few changes from where we last saw them.There's so much the same that to speak ill of the film is somehow to dishonor its predecessors. But there was a lot of room for director Bryan Singer to improve and reinvent the story, not feel beholden to another 30-year-old movie. But his efforts smack of folly. There are a fair number of moments to enjoy in SUPERMAN RETURNS, but they require an unusual amount of pretending not to notice the obvious. Does it bother anyone else that a 23-year-old (Bosworth, who looks all of... 23) was THE famous Lois Lane -- the same one who Margot Kidder portrayed at 30) when she was 18 years old? (The story makes numerous references to the first two films, including the ""My Night With Superman"" article that we are now meant o believe was written before Lois could vote.) Or that a 26-year-old (Routh) left the earth at an age when he would still be considered SuperBOY? Or that Lois' son -- who, in the time line, has to be no more than four -- looks to be at least six? Doesn't this all strike you as Hollywood at its franchise-minded worst? At more than 2.5 hours, SUPERMAN RETURNS doesn't need to be as long as it is, and would have benefited immeasurably from a tighter script. But as an entertainment, there have been worse. It's just this one could have been much better.",13,15,awjonesjr,"Jun 23, 2006",
8,Much better than I expected,,4,5,secondstoreykid,"Jun 23, 2006",Spoiler
9,Fantastic,"Let me cut to the chase by paraphrasing the Superman ad campaign: You *will* believe that Brandon Routh can fly. I'm jealous of him because he was born to play this role. His Clark Kent is goofy and endearing; his Superman is invincible and inspiring. I have great respect for Bryan Singer, and congratulations to him for all the work he put into finding his Kal-El; without such an archetypal lead, the rest of the movie would have been irrelevant. I'm baffled as to why they don't have more of Clark and Superman speaking in the trailers for the movie. I think a marketing exec somewhere must have been worried about people saying ""But it's not Christopher Reeve""...But that was unnecessary; anyone who thinks that going in will forget it by the time they leave. There are a few parts of the storyline that I'm not happy with; they're meant to bring human dilemmas to Superman, but instead they drag him down into the mundane. However, I forgave most of that when he repeats some of Jor-El's words at the end of the movie. Finally, I'm amazed at Singer's ability to tell such an epic story with almost no on screen violence and death...This is a movie I can't wait to watch with my daughter - she's only 2, but I won't have to wait long...",5,6,johnny_go_time,"Jun 23, 2006",
10,Superman Returns is absolutely worth the $9!!!,,8,6,levari2000,"Jun 23, 2006",Spoiler
10,Superman Returns.,,7,6,mrjaws,"Jun 23, 2006",Spoiler
,Superman Lives!,"Saw an advance screening yesterday...Brandon Routh pulled it off beautifully. He resembles Christopher Reeve's Superman so much it's uncanny. The first time he smiles as Clark Kent, back at work at the daily Planet, it felt like it was Christopher Reeve again.Kevin Spacey is an excellent Lex Luthor. His role was written much better than Hackman's role in the original films. He didn't seem to be coming up with plans that could only work under comic book logic. Admittedly, they could only work in Superman's comic book universe, (Fortress of Solitude, Krypton, Kryptonite, etc.) but the logic of his plan is sound. His character's obsession with real estate resembles Hackman's Lex, but Spacey's Lex is a much less silly version of the role. Hackman is a great actor, but his Lex Luthor was very badly written, IMHO. Nobody could have saved it.The effects were great, the story was great, the acting was overall very good. There were, however, numerous errors in the reality of real things. The end of the scene involving the Mustang (no spoilers here) defies the reality of cars, as an example. Sure it's not the first time a Superman movie, or indeed any comic book adaptation, has made these type of errors, but it would have been better if they did little things like that right, instead of using the ""Eh, it's just a movie"" excuse.Ultimately, I loved this film. It's a great story well told. It doesn't need to be anything else.",96,105,crobarj1,"Jun 24, 2006",
,It's Nothing New but It IS Dull and Flat.,"Like bad action movies of the past with a big budget but no brain, (Can you say Reloaded? Can you say Revolutions? Can you now say Returns?) This movie pretended to be smart but ultimately there was no thought put into the writing. Even the action scenes were on the weak and flimsy side. The entire movie lacked the energy of the original. Not only that, but there was zero chemistry between the stars--who have no personality or charisma, and there was no character development at all. Since the movie put way too much emphasis on the characters, this was a serious problem. This film had some nice effects that quickly became boring as their setup and overuse flowed for far too long. Besides, the one thing those Matrix sequels mentioned above did right was showing off Superman like powers and flying abilities. So, Superman Returns offers NOTHING new.A serious disappointment here.",15,17,McGrit,"Jun 24, 2006",
9,An Immortal Hero,"Superman ReturnsSuperman is my new hero. His sense of justice is so well defined that just the idea of Superman makes people behave. They open doors for each other. They say ""Thank you"" and ""Pardon me."" Why? Superman is the model for how to act. But it is Kal-El's kindness and respect, his undying belief in family values that make me wish he really did exist. Superman behaves as we all can…and should. So it is with the visual experience Superman Returns offers: his world is super-realistic. The FX didn't make me think ""That's fake;"" the effects made me think ""I want to live there. I want to live in Superman's world…right now."" Superman Returns is the first feature film to be shot entirely with the new Sony/Panavision Genesis camera system. This 70mm high definition digital camera was worth every penny of the $209 million dollar budget that was spent on it. From the opening titles to the end credits the clarity of the film makes for absolutely seamless transition between reality and magic. Superman has never looked better.Director Bryan Singer took on the daunting task of resurrecting post-Christopher Reeve Superman. Imagine making an Indiana Jones sequel without Stephen Spielberg and after Harrison Ford was paralyzed and then died. First, you have audience expectations which are off the chart. Second, you have essential elements such as Kryptonite, Jor-El, Lex Luther, Lois Lane, and The Daily Planet newspaper that must be introduced in a way that will inform new viewers while not boring loyalists. Third, you have to advance the series with an original yet respectful story line. It is like asking someone to thread five needles at the same time. This seemingly impossible task was accepted by the young Bryan Singer, who made a name for himself directing 1995's The Usual Suspects. He followed with Apt Pupil (1998) and X-Men, X2 (2000, 2003). If you consider that this Superman sequel has been in development for Bryan Singer's entire career then you get some idea of what a potential trap he was walking into. Now that the dust has settled and Superman Returns is a reality, Singer definitely accomplished what few thought possible: he resurrected a hero.The story picks up where it was left after Superman II (1980). Kal-El has gone on a mission to visit what is left of his home planet of Krypton. Unfortunately, we do not get join Kal-El on this journey, but that is just one of the few objectionable decisions made by screenwriters Dan Harris & Michael Dougherty. Their picture is a tremendously entertaining one that accomplished an extraordinarily difficult task of satisfying everyone from the critics to the 13 year old who wants to fly. Kal-El returns home after five years to a changed world. Superman is compelled to protect earthlings from each other.Superman loyalists can breathe a sigh of relief. The fact another Superman sequel is slated for 2009 is proof that the Man of Steel is here to stay. Singer dedicated Superman Returns to Christopher and Dana Reeve, but everyone should embrace Superman's focused pursuit of justice. The question ""Is Superman needed?"" plays a large role in the movie as well as in real life. To both, the answer is Yes.Grade ASuperman Returns Cast: Brandon Routh, Kate Bosworth, Kevin Spacey Director: Bryan Singer MPAA Rating: PG-13 Runtime: 157 minutes Release Company: Warner Brothers",9,14,mrw8,"Jun 24, 2006",
10,possible spoiler. in regards to cast members from the '50s to today,,7,6,moe7061-1,"Jun 24, 2006",Spoiler
2,Should have taken a longer break,,26,28,aharmas,"Jun 24, 2006",Spoiler
7,This is not an ordinary movie,"This is not an ordinary movie. What we are dealing with here is the embodiment of truth and justice (the American Way has been upgraded to the World Stage). Superman is not just any Comic Book Hero... he is the quintessential Super Hero. Fun and Campy throughout this was enjoyable and action packed with great CGI at the start leveling to crystalline structures later that lacked veracity. You can take a break in the movie at the 3/4 point when there is an excess of the water structures and you will come back refreshed to finish the 2 hour 30 minutes (including about 7 minutes of Credits at the end).The new Superman is Brandon Routh, who is relatively free of a past of major roles that may have prevented us from believing him to be Superman. I don't watch much TV, especially the situation shows on the networks and those were his credits before this Superman. Fortuately, he was born in Iowa which is pretty close to the Kansas of the Kents, so his accent is right on. Kate Bosworth steals the show, however, as she has much more display of depth of emotion than Routh as Superman. Kevin Spacey is good as Lex Luther, but we still are looking at him in this movie and thinking it the character is Keven Spacy.",3,9,imdb-larryxl,"Jun 24, 2006",
9,"Not as good as I imagined, but still stellar","I think my expectations had risen to Star Wars-like levels for this movie. Just saw a press screening in Bangkok and have to say that I loved, loved it, but wanted more. I think it could have been trimmed by about fifteen minutes, needed a few longer shots of Superman kicking ass and saving people.. but what was there was amazing. The special effects were nearly flawless, Routh both channelled Christopher Reeve and made the part his own, Spacey owned and Bosworth did a much better job than I thought she would. Singer really laid a solid base for continuing adventures that I hope will be even bigger and better. I propose letting only Bryan Singer direct superhero movies from now on.",1,5,sir_greg,"Jun 25, 2006",
5,"Good effects, but ultimately emotionally uninvolving",,325,165,eichelbergersports,"Jun 25, 2006",Spoiler
8,Haven't I seen this before?,,3,4,lima-2,"Jun 25, 2006",Spoiler
4,nothing great,,9,13,etl33,"Jun 25, 2006",Spoiler
10,Superman Returns! The movie in which Superman returns!,"Superman Returns! The movie in which Superman returns! He doesn't get a very warm welcome though… As always there are plenty of bad guys lining up to shoot at Superman! And as always they seem to think that even if their first 16 bullets have bounced harmlessly of his chest the 17th might be the one to miraculously kill him. It might seem pretty stupid for them to behave in this way, but I guess if they were smarter they probably wouldn't have chosen to live a life of crime in the only city in the world that has its own near-omnipresent godlike guardian. Now we all know that in the kingdom of bad men, the bald-headed bad man is king, so it's no surprise to see Lex Luthor up to his old, bald, tricks. Like all bald men, Lex Luthor is a bitter, evil, sinister, malevolent, twisted monster, but unlike your ordinary bald man, Luthor is also intelligent. Baldness and intelligence? - A deadly combination! And Luthor uses every ounce of his evil genius and every inch of his shimmering bald head to pester our hero at every turn! Superman is good-looking, strong, beloved by people everywhere and on top of all that (quite literally!) he has a wonderfully thick and lustrous head of hair! For ladies everywhere (and some men), he really is the full package. It's not hard to see why Lex would be jealous of Superman's package. There are photographs of it thrusting out at him from his morning newspaper everyday. It could even be argued that Superman should bear some of the blame for Luthor's behaviour; he's well aware of the impact that his package can have, and he does insist on rubbing it in Lex's face on a regular basis. It strikes me that Superman has a lot in common with a certain other character. A benevolent stranger sent from above who possesses incredible powers and a heart filled with nothing but love for all mankind, who finds himself persecuted by a handful of small-minded human beings. Someone who many people have devoted their entire lives to worshipping and following his teachings… Someone who has had a major influence on my own life and seen me through some pretty tough times, our Lord and saviour - E.T: The Extra Terrestrial. Unlike E.T though, Superman has the peculiar stroke of luck to fly halfway across the galaxy and land on an alien world only to find that it is populated by people who look exactly like him! What are the odds! There will be no dressing up as an old woman, hiding in wardrobes or fingering small children for Superman! The Superman project has had more than its fair share of controversy. I've even heard people complaining that Superman's 'S' wasn't big enough1 I actually thought that they were saying that his 'ass' wasn't big enough. I thought that the obese citizens of the USA were rising up in protest about the fact that there are very few fat superheroes. Then I realised - they probably can't 'rise up' for about anything! Except maybe to waddle down to McDonalds for another Big Mac! Ha ha ha! Fatties! Anyway nerds, put your nerdish minds at ease and rest assured that Bryan Singer has given Superman's S, and his ass, plenty of thought. He made the right choice with the S, and in the end he had his way with Superman's ass too. You might disagree with what he did, but you've got to admire his determination! Almost every big-name director in Hollywood has been linked to some kind of Superman project in recent years, with all sorts of wacky ideas up for consideration. An ugly Superman? It nearly happened - Tim Burton had plans to make a Superman movie starring Nicholas Cage as some sort of sullen, hunchbacked incarnation of the hero. It's kind of a shame that the we never got to see that version, because Nicholas Cage is obviously a huge Superman-fan. At least he's been given the chance to play the lead in the upcoming Ghost Rider film, so he's still grimly hanging on to the superhero ladder, even if he's only on the bottom rung and other actors keep stepping on his face as they clamber past him to box office success. What about a Superman film directed by Kevin Smith? Jay and Silent Bob Vs Superman! Just imagine, two hours of Superman talking to Jimmy Olsen about Star Wars! With Ben Affleck as Superman! And Jennifer Lopez as Lois Lane (renamed Lois Lopez at the actress's insistence! What a movie that could have been! Or how about Mel Gibson's The Passion of the Superman? When Superman is betrayed by his best friend Judas Olsen, he finds himself arrested and mercilessly tortured by Pontius Lexus! After being krypto-whipped to within an inch of his life, Superman is sentenced to death and forced to carry a glowing green kryptonite cross to the top of the hill where he will be crucified. And all the while a distraught Lois Magda-Lane is forced to stand helplessly by and watch the terrible injustice unfold. Harrowing.In summary, Bryan Singer abandoned his beloved X-men in the blink of an eye when the chance to direct Superman came along, and it's not hard to see why! Like any other red-blooded male, Bryan would much rather be behind Superman, putting everything he has into The Man Of Steel rather than doing the same to some anonymous leather clad man with a hairy back. All we can do is sit back and watch Bryan do what he does best… and it's quite a site to behold!www.chipremington.com - the movie review website that's better than a medium-to-hard poke in the eye",11,27,ChipRemington,"Jun 25, 2006",
